timestamp,thrust,z,torque_x,torque_y,torque_z,roll,pitch,yaw,p,q,r,vx,vy,vz,mass,inertia_xx,inertia_yy,inertia_zz,trajectory_id
0.64,1.3238428831100464,-1.053859829902649,7.190722953964723e-06,-4.636432095139753e-06,6.741030574630713e-06,0.06242277845740318,-0.032156750559806824,0.030536804348230362,0.1121801882982254,-0.05512986332178116,0.056819792836904526,0.0,0.0,-4.121473789215088,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.65,1.323742151260376,-1.092199444770813,7.100833954609698e-06,-4.591141532728216e-06,6.68437451167847e-06,0.06335809081792831,-0.03265044838190079,0.030986033380031586,0.11124349385499954,-0.05463568866252899,0.056371059268713,0.0,0.0,-4.205522537231445,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.66,1.3236364126205444,-1.1312686204910278,7.007007752690697e-06,-4.545778665487887e-06,6.629005838476587e-06,0.06428591907024384,-0.03314049541950226,0.031431425362825394,0.11031467467546463,-0.05414533242583275,0.05592625215649605,0.0,0.0,-4.289580821990967,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.67,1.323525309562683,-1.171042561531067,6.909525382070569e-06,-4.50038533017505e-06,6.5748081397032365e-06,0.06520616263151169,-0.03362683206796646,0.031872961670160294,0.10939383506774902,-0.0536588579416275,0.05548540875315666,0.0,0.0,-4.373607635498047,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.68,1.3234094381332397,-1.2115041017532349,6.808780199207831e-06,-4.454997906577773e-06,6.521906470879912e-06,0.0661187618970871,-0.034109413623809814,0.032310619950294495,0.1084810420870781,-0.05317632853984833,0.05504852533340454,0.0,0.0,-4.457568168640137,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.6900000000000001,1.3232886791229248,-1.2526274919509888,6.705363375658635e-06,-4.409624580148375e-06,6.47025217404007e-06,0.06702364981174469,-0.03458819165825844,0.0327443890273571,0.10757635533809662,-0.052697788923978806,0.05461561307311058,0.0,0.0,-4.54142427444458,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.7000000000000001,1.3231630325317383,-1.294394612312317,6.6000056904158555e-06,-4.3643290155159775e-06,6.41982524030027e-06,0.06792081147432327,-0.03506314009428024,0.03317427635192871,0.10667981207370758,-0.052223265171051025,0.05418667197227478,0.0,0.0,-4.6251420974731445,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.71,1.3230329751968384,-1.3367863893508911,6.492819920822512e-06,-4.319152139942162e-06,6.3705770116939675e-06,0.06881021708250046,-0.035534244030714035,0.03360028192400932,0.10579142719507217,-0.05175277963280678,0.053761690855026245,0.0,0.0,-4.708690166473389,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.72,1.322898507118225,-1.3797837495803833,6.384537300618831e-06,-4.2741376091726124e-06,6.322507488221163e-06,0.06969185173511505,-0.03600147366523743,0.03402243182063103,0.10491121560335159,-0.051286354660987854,0.05334063619375229,0.0,0.0,-4.79203987121582,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.73,1.3227601051330566,-1.4233704805374146,6.275608029682189e-06,-4.229307251080172e-06,6.275539362832205e-06,0.07056571543216705,-0.03646482527256012,0.03444073349237442,0.10403914004564285,-0.05082397907972336,0.052923500537872314,0.0,0.0,-4.875158309936523,0.068,6.86e-05,9.2e-05,0.0001366,0.0
